Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion,Month Name,Hour(order),diff order & delivery,Hour(delivery), Price (INR) , Revnue ,Day name(Orderdate)
225,C093,52,5,05-02-2023,12:12:26,06-02-2023,18:01:06,Arrah,Valentine's Day,February,12,1,18,? 236.00,"? 1,180.00",Sunday
229,C079,49,3,11-02-2023,20:55:38,20-02-2023,09:32:50,Junagadh,Valentine's Day,February,20,9,9,? 903.00,"? 2,709.00",Saturday
243,C043,3,1,05-02-2023,20:50:37,10-02-2023,12:30:54,Siwan,Valentine's Day,February,20,5,12,"? 1,534.00","? 1,534.00",Sunday
248,C044,19,5,08-02-2023,08:43:41,10-02-2023,04:15:01,Alwar,Valentine's Day,February,8,2,4,"? 1,234.00","? 6,170.00",Wednesday
253,C010,68,2,12-02-2023,14:24:46,14-02-2023,05:39:27,Bangalore,Valentine's Day,February,14,2,5,? 597.00,"? 1,194.00",Sunday
262,C038,49,3,07-02-2023,08:05:16,11-02-2023,01:06:57,Tirunelveli,Valentine's Day,February,8,4,1,? 903.00,"? 2,709.00",Tuesday
264,C010,52,3,09-02-2023,05:35:19,18-02-2023,15:43:46,Asansol,Valentine's Day,February,5,9,15,? 236.00,? 708.00,Thursday
265,C060,58,1,10-02-2023,21:17:18,18-02-2023,06:28:33,Gudivada,Valentine's Day,February,21,8,6,"? 1,492.00","? 1,492.00",Friday
280,C003,19,3,07-02-2023,17:44:47,12-02-2023,16:31:05,Mangalore,Valentine's Day,February,17,5,16,"? 1,234.00","? 3,702.00",Tuesday
291,C072,49,2,10-02-2023,00:12:40,11-02-2023,22:52:51,Nadiad,Valentine's Day,February,0,1,22,? 903.00,"? 1,806.00",Friday
298,C057,3,1,11-02-2023,23:06:29,12-02-2023,02:17:43,Bahraich,Valentine's Day,February,23,1,2,"? 1,534.00","? 1,534.00",Saturday
306,C085,49,4,04-02-2023,11:35:51,12-02-2023,06:38:00,Bellary,Valentine's Day,February,11,8,6,? 903.00,"? 3,612.00",Saturday
307,C042,3,1,04-02-2023,21:37:54,08-02-2023,11:28:10,Durgapur,Valentine's Day,February,21,4,11,"? 1,534.00","? 1,534.00",Saturday
316,C048,2,5,11-02-2023,21:35:05,15-02-2023,07:21:50,Muzaffarnagar,Valentine's Day,February,21,4,7,? 441.00,"? 2,205.00",Saturday
350,C020,19,3,13-02-2023,12:22:57,22-02-2023,16:26:10,Kolkata,Valentine's Day,February,12,9,16,"? 1,234.00","? 3,702.00",Monday
366,C033,3,3,08-02-2023,23:15:47,16-02-2023,10:51:38,Kolkata,Valentine's Day,February,23,8,10,"? 1,534.00","? 4,602.00",Wednesday
399,C008,68,1,08-02-2023,06:21:47,15-02-2023,07:08:14,Bareilly,Valentine's Day,February,6,7,7,? 597.00,? 597.00,Wednesday
405,C033,49,1,10-02-2023,23:05:14,18-02-2023,14:47:38,Guwahati,Valentine's Day,February,23,8,14,? 903.00,? 903.00,Friday
416,C006,58,5,12-02-2023,16:41:02,17-02-2023,09:37:01,Saharanpur,Valentine's Day,February,16,5,9,"? 1,492.00","? 7,460.00",Sunday
423,C067,19,1,11-02-2023,16:46:58,17-02-2023,00:10:05,Alappuzha,Valentine's Day,February,16,6,0,"? 1,234.00","? 1,234.00",Saturday
426,C073,2,2,13-02-2023,22:59:54,17-02-2023,13:51:00,Kharagpur,Valentine's Day,February,22,4,13,? 441.00,? 882.00,Monday
442,C023,3,3,08-02-2023,18:03:20,15-02-2023,08:05:39,Khandwa,Valentine's Day,February,18,7,8,"? 1,534.00","? 4,602.00",Wednesday
443,C046,49,3,04-02-2023,22:22:19,13-02-2023,02:16:00,Secunderabad,Valentine's Day,February,22,9,2,? 903.00,"? 2,709.00",Saturday
446,C079,33,5,12-02-2023,02:54:04,15-02-2023,11:03:28,Bokaro,Valentine's Day,February,2,3,11,? 314.00,"? 1,570.00",Sunday
449,C045,49,4,13-02-2023,03:18:26,16-02-2023,10:09:41,Ichalkaranji,Valentine's Day,February,3,3,10,? 903.00,"? 3,612.00",Monday
451,C079,33,5,07-02-2023,00:16:52,13-02-2023,21:10:57,Ujjain,Valentine's Day,February,0,6,21,? 314.00,"? 1,570.00",Tuesday
454,C088,3,2,07-02-2023,23:26:49,09-02-2023,01:21:56,Suryapet,Valentine's Day,February,23,2,1,"? 1,534.00","? 3,068.00",Tuesday
456,C071,33,2,12-02-2023,22:51:39,15-02-2023,22:14:06,Nangloi Jat,Valentine's Day,February,22,3,22,? 314.00,? 628.00,Sunday
477,C099,33,4,12-02-2023,17:18:09,14-02-2023,03:11:52,Gangtok,Valentine's Day,February,17,2,3,? 314.00,"? 1,256.00",Sunday
478,C003,11,5,08-02-2023,01:11:21,09-02-2023,09:50:19,Ambarnath,Valentine's Day,February,1,1,9,"? 1,096.00","? 5,480.00",Wednesday
479,C071,11,1,07-02-2023,17:48:21,11-02-2023,10:48:13,Ghaziabad,Valentine's Day,February,17,4,10,"? 1,096.00","? 1,096.00",Tuesday
490,C075,2,1,12-02-2023,12:28:03,14-02-2023,12:27:19,Eluru,Valentine's Day,February,12,2,12,? 441.00,? 441.00,Sunday
492,C047,33,2,04-02-2023,13:54:25,13-02-2023,12:04:33,Salem,Valentine's Day,February,13,9,12,? 314.00,? 628.00,Saturday
493,C035,11,1,05-02-2023,22:11:24,06-02-2023,15:43:11,Gopalpur,Valentine's Day,February,22,1,15,"? 1,096.00","? 1,096.00",Sunday
496,C021,11,4,09-02-2023,14:31:57,16-02-2023,13:05:41,Sambhal,Valentine's Day,February,14,7,13,"? 1,096.00","? 4,384.00",Thursday
498,C100,19,4,13-02-2023,21:34:44,20-02-2023,21:14:24,Bhusawal,Valentine's Day,February,21,7,21,"? 1,234.00","? 4,936.00",Monday
519,C014,52,4,07-02-2023,23:10:38,15-02-2023,06:40:20,Hindupur,Valentine's Day,February,23,8,6,? 236.00,? 944.00,Tuesday
521,C062,33,5,04-02-2023,21:00:17,08-02-2023,02:28:38,Noida,Valentine's Day,February,21,4,2,? 314.00,"? 1,570.00",Saturday
527,C036,33,3,11-02-2023,12:51:40,19-02-2023,15:58:07,Bardhaman,Valentine's Day,February,12,8,15,? 314.00,? 942.00,Saturday
561,C099,49,5,12-02-2023,12:24:35,21-02-2023,17:23:34,Ghaziabad,Valentine's Day,February,12,9,17,? 903.00,"? 4,515.00",Sunday
563,C077,58,5,11-02-2023,11:43:18,19-02-2023,05:04:29,Jorhat,Valentine's Day,February,11,8,5,"? 1,492.00","? 7,460.00",Saturday
573,C040,3,5,08-02-2023,02:52:06,14-02-2023,02:57:06,Thane,Valentine's Day,February,2,6,2,"? 1,534.00","? 7,670.00",Wednesday
575,C076,49,2,06-02-2023,13:24:32,09-02-2023,14:55:08,Kota,Valentine's Day,February,13,3,14,? 903.00,"? 1,806.00",Monday
582,C019,3,4,04-02-2023,18:30:31,05-02-2023,19:16:41,Latur,Valentine's Day,February,18,1,19,"? 1,534.00","? 6,136.00",Saturday
588,C056,49,5,04-02-2023,06:37:00,05-02-2023,21:21:57,Kishanganj,Valentine's Day,February,6,1,21,? 903.00,"? 4,515.00",Saturday
593,C016,58,3,05-02-2023,17:30:40,12-02-2023,09:34:03,Bhilai,Valentine's Day,February,17,7,9,"? 1,492.00","? 4,476.00",Sunday
606,C047,3,5,08-02-2023,02:13:13,17-02-2023,07:31:32,Sambalpur,Valentine's Day,February,2,9,7,"? 1,534.00","? 7,670.00",Wednesday
628,C061,11,5,10-02-2023,21:50:27,13-02-2023,21:07:46,Ongole,Valentine's Day,February,21,3,21,"? 1,096.00","? 5,480.00",Friday
633,C031,52,5,10-02-2023,14:44:42,15-02-2023,05:12:46,Surat,Valentine's Day,February,14,5,5,? 236.00,"? 1,180.00",Friday
651,C017,11,4,13-02-2023,02:16:28,19-02-2023,11:55:54,Panihati,Valentine's Day,February,2,6,11,"? 1,096.00","? 4,384.00",Monday
656,C032,68,2,05-02-2023,18:34:41,06-02-2023,04:46:00,Dehri,Valentine's Day,February,18,1,4,? 597.00,"? 1,194.00",Sunday
659,C048,19,5,05-02-2023,17:44:56,12-02-2023,22:37:43,Silchar,Valentine's Day,February,17,7,22,"? 1,234.00","? 6,170.00",Sunday
660,C053,58,3,11-02-2023,06:08:46,21-02-2023,20:48:35,Amravati,Valentine's Day,February,6,10,20,"? 1,492.00","? 4,476.00",Saturday
669,C035,68,5,10-02-2023,07:11:50,17-02-2023,09:56:42,Ludhiana,Valentine's Day,February,7,7,9,? 597.00,"? 2,985.00",Friday
673,C008,33,3,04-02-2023,05:54:49,07-02-2023,04:25:38,Gaya,Valentine's Day,February,5,3,4,? 314.00,? 942.00,Saturday
674,C065,68,2,07-02-2023,09:41:25,16-02-2023,23:40:25,Chennai,Valentine's Day,February,9,9,23,? 597.00,"? 1,194.00",Tuesday
711,C093,68,3,04-02-2023,17:15:28,06-02-2023,14:50:53,Tiruppur,Valentine's Day,February,17,2,14,? 597.00,"? 1,791.00",Saturday
718,C028,49,1,09-02-2023,05:13:35,13-02-2023,06:22:05,Jabalpur,Valentine's Day,February,5,4,6,? 903.00,? 903.00,Thursday
721,C022,3,5,07-02-2023,03:28:21,17-02-2023,18:28:02,Vasai-Virar,Valentine's Day,February,3,10,18,"? 1,534.00","? 7,670.00",Tuesday
728,C073,52,2,08-02-2023,13:45:46,11-02-2023,16:07:16,Panchkula,Valentine's Day,February,13,3,16,? 236.00,? 472.00,Wednesday
734,C008,49,3,11-02-2023,11:44:37,14-02-2023,09:06:06,Morena,Valentine's Day,February,11,3,9,? 903.00,"? 2,709.00",Saturday
750,C022,19,3,08-02-2023,09:22:41,14-02-2023,22:24:42,Chapra,Valentine's Day,February,9,6,22,"? 1,234.00","? 3,702.00",Wednesday
752,C034,3,5,10-02-2023,11:38:01,12-02-2023,10:35:58,Bally,Valentine's Day,February,11,2,10,"? 1,534.00","? 7,670.00",Friday
757,C001,2,3,12-02-2023,10:23:53,20-02-2023,04:40:28,Shivpuri,Valentine's Day,February,10,8,4,? 441.00,"? 1,323.00",Sunday
779,C052,3,1,06-02-2023,06:26:37,08-02-2023,02:51:51,Durgapur,Valentine's Day,February,6,2,2,"? 1,534.00","? 1,534.00",Monday
780,C070,33,2,10-02-2023,11:30:51,13-02-2023,04:28:25,Bikaner,Valentine's Day,February,11,3,4,? 314.00,? 628.00,Friday
789,C048,58,4,08-02-2023,18:19:36,15-02-2023,08:00:31,Bally,Valentine's Day,February,18,7,8,"? 1,492.00","? 5,968.00",Wednesday
793,C095,58,5,05-02-2023,17:37:16,15-02-2023,01:28:17,Mirzapur,Valentine's Day,February,17,10,1,"? 1,492.00","? 7,460.00",Sunday
804,C009,3,3,05-02-2023,05:37:18,07-02-2023,01:58:08,Deoghar,Valentine's Day,February,5,2,1,"? 1,534.00","? 4,602.00",Sunday
838,C003,19,3,09-02-2023,10:18:01,17-02-2023,06:09:40,Sirsa,Valentine's Day,February,10,8,6,"? 1,234.00","? 3,702.00",Thursday
843,C007,68,1,11-02-2023,21:46:03,12-02-2023,19:27:09,Bikaner,Valentine's Day,February,21,1,19,? 597.00,? 597.00,Saturday
864,C033,11,1,11-02-2023,19:34:22,15-02-2023,08:05:38,Lucknow,Valentine's Day,February,19,4,8,"? 1,096.00","? 1,096.00",Saturday
865,C032,19,1,12-02-2023,18:09:14,13-02-2023,06:38:00,Kumbakonam,Valentine's Day,February,18,1,6,"? 1,234.00","? 1,234.00",Sunday
869,C032,3,5,06-02-2023,10:03:19,11-02-2023,23:16:28,Hazaribagh,Valentine's Day,February,10,5,23,"? 1,534.00","? 7,670.00",Monday
874,C010,68,1,11-02-2023,12:42:30,21-02-2023,17:35:44,Ramagundam,Valentine's Day,February,12,10,17,? 597.00,? 597.00,Saturday
879,C092,33,2,07-02-2023,05:34:34,10-02-2023,11:27:38,Kishanganj,Valentine's Day,February,5,3,11,? 314.00,? 628.00,Tuesday
891,C027,58,2,08-02-2023,14:56:43,16-02-2023,23:54:45,Shivpuri,Valentine's Day,February,14,8,23,"? 1,492.00","? 2,984.00",Wednesday
892,C025,11,4,06-02-2023,18:33:04,07-02-2023,01:26:54,Thrissur,Valentine's Day,February,18,1,1,"? 1,096.00","? 4,384.00",Monday
898,C018,52,1,09-02-2023,06:18:52,13-02-2023,23:13:42,Kadapa,Valentine's Day,February,6,4,23,? 236.00,? 236.00,Thursday
904,C013,2,4,12-02-2023,22:05:48,17-02-2023,01:05:37,Mira-Bhayandar,Valentine's Day,February,22,5,1,? 441.00,"? 1,764.00",Sunday
905,C080,58,1,10-02-2023,19:31:35,16-02-2023,08:32:14,Ichalkaranji,Valentine's Day,February,19,6,8,"? 1,492.00","? 1,492.00",Friday
906,C100,49,3,06-02-2023,01:16:20,16-02-2023,09:14:48,Jalandhar,Valentine's Day,February,1,10,9,? 903.00,"? 2,709.00",Monday
914,C048,33,4,09-02-2023,14:52:18,14-02-2023,09:47:20,Sambhal,Valentine's Day,February,14,5,9,? 314.00,"? 1,256.00",Thursday
916,C063,33,2,06-02-2023,04:23:09,14-02-2023,21:19:24,Darbhanga,Valentine's Day,February,4,8,21,? 314.00,? 628.00,Monday
918,C083,19,2,12-02-2023,18:13:06,21-02-2023,22:02:06,Pali,Valentine's Day,February,18,9,22,"? 1,234.00","? 2,468.00",Sunday
952,C027,49,4,12-02-2023,02:48:07,22-02-2023,09:19:09,Bidar,Valentine's Day,February,2,10,9,? 903.00,"? 3,612.00",Sunday
967,C041,68,4,12-02-2023,00:21:23,20-02-2023,18:29:48,Siliguri,Valentine's Day,February,0,8,18,? 597.00,"? 2,388.00",Sunday
989,C017,52,3,06-02-2023,08:11:27,15-02-2023,02:00:04,Bidhannagar,Valentine's Day,February,8,9,2,? 236.00,? 708.00,Monday
994,C004,68,2,13-02-2023,22:44:36,21-02-2023,06:45:30,Chandigarh,Valentine's Day,February,22,8,6,? 597.00,"? 1,194.00",Monday
997,C098,19,2,04-02-2023,04:28:27,10-02-2023,11:50:24,Vasai-Virar,Valentine's Day,February,4,6,11,"? 1,234.00","? 2,468.00",Saturday
999,C054,52,2,06-02-2023,22:40:49,10-02-2023,12:29:21,Miryalaguda,Valentine's Day,February,22,4,12,? 236.00,? 472.00,Monday
1,C037,67,5,24-02-2023,23:48:13,05-03-2023,07:27:10,Bardhaman,Anniversary,February,23,9,7,"? 1,374.00","? 6,870.00",Friday
55,C040,5,1,08-02-2023,08:01:07,13-02-2023,07:42:58,Kottayam,All Occasions,February,8,5,7,"? 1,444.00","? 1,444.00",Wednesday
31,C029,7,5,28-02-2023,13:13:22,03-03-2023,23:35:49,Nandyal,Holi,February,13,3,23,? 409.00,"? 2,045.00",Tuesday
47,C013,7,5,26-02-2023,13:04:28,28-02-2023,06:00:20,Jaipur,Holi,February,13,2,6,? 409.00,"? 2,045.00",Sunday
10,C099,56,3,26-02-2023,00:17:26,08-03-2023,20:47:43,Ambala,Anniversary,February,0,10,20,"? 1,272.00","? 3,816.00",Sunday
13,C024,20,3,24-02-2023,16:47:16,04-03-2023,02:27:37,Gandhidham,Anniversary,February,16,8,2,? 697.00,"? 2,091.00",Friday
16,C013,20,3,16-02-2023,15:06:11,20-02-2023,22:14:21,Khammam,Anniversary,February,15,4,22,? 697.00,"? 2,091.00",Thursday
21,C090,32,1,09-02-2023,11:20:52,12-02-2023,11:36:26,Bathinda,Birthday,February,11,3,11,"? 1,792.00","? 1,792.00",Thursday
42,C080,35,1,26-02-2023,00:08:38,07-03-2023,17:18:28,Faridabad,Holi,February,0,9,17,"? 1,865.00","? 1,865.00",Sunday
57,C090,35,5,26-02-2023,08:00:15,06-03-2023,12:27:32,Ahmedabad,Holi,February,8,8,12,"? 1,865.00","? 9,325.00",Sunday
66,C017,35,5,26-02-2023,21:00:44,27-02-2023,06:25:58,Munger,Holi,February,21,1,6,"? 1,865.00","? 9,325.00",Sunday
81,C053,1,5,22-02-2023,18:29:21,03-03-2023,07:09:32,Kalyan-Dombivli,All Occasions,February,18,9,7,"? 1,935.00","? 9,675.00",Wednesday
91,C061,6,2,27-02-2023,13:52:56,05-03-2023,13:23:25,Mahbubnagar,Holi,February,13,6,13,"? 1,112.00","? 2,224.00",Monday
103,C097,18,3,01-02-2023,12:24:59,08-02-2023,22:51:39,Ichalkaranji,Birthday,February,12,7,22,? 781.00,"? 2,343.00",Wednesday
105,C063,36,2,11-02-2023,02:57:36,21-02-2023,01:34:10,Guna,Birthday,February,2,10,1,? 203.00,? 406.00,Saturday
108,C012,26,4,27-02-2023,09:03:26,05-03-2023,08:03:05,Berhampore,Holi,February,9,6,8,? 289.00,"? 1,156.00",Monday
109,C074,50,5,27-02-2023,15:35:48,01-03-2023,08:38:56,Gandhidham,Holi,February,15,2,8,? 422.00,"? 2,110.00",Monday
114,C009,40,4,03-02-2023,16:03:15,07-02-2023,02:22:48,Kirari Suleman Nagar,Anniversary,February,16,4,2,"? 1,923.00","? 7,692.00",Friday
118,C035,62,1,27-02-2023,14:30:59,05-03-2023,10:32:52,Bhavnagar,Holi,February,14,6,10,"? 1,356.00","? 1,356.00",Monday
129,C051,67,2,17-02-2023,05:21:30,20-02-2023,08:17:32,Ramgarh,Anniversary,February,5,3,8,"? 1,374.00","? 2,748.00",Friday
141,C062,35,4,28-02-2023,03:55:06,10-03-2023,02:31:56,Allahabad,Holi,February,3,10,2,"? 1,865.00","? 7,460.00",Tuesday
143,C087,66,2,28-02-2023,07:37:18,10-03-2023,14:49:54,Ramagundam,Holi,February,7,10,14,? 610.00,"? 1,220.00",Tuesday
152,C084,51,2,27-02-2023,10:48:51,05-03-2023,16:39:22,Tiruppur,All Occasions,February,10,6,16,"? 1,084.00","? 2,168.00",Monday
156,C030,61,2,09-02-2023,08:20:50,12-02-2023,10:49:14,Ozhukarai,Anniversary,February,8,3,10,? 810.00,"? 1,620.00",Thursday
157,C019,35,3,26-02-2023,12:44:17,06-03-2023,11:35:44,Thiruvananthapuram,Holi,February,12,8,11,"? 1,865.00","? 5,595.00",Sunday
163,C083,54,4,17-02-2023,19:50:10,25-02-2023,10:20:16,Ujjain,Anniversary,February,19,8,10,"? 1,236.00","? 4,944.00",Friday
179,C078,47,3,28-02-2023,15:16:02,10-03-2023,14:31:07,Vijayanagaram,Holi,February,15,10,14,"? 1,638.00","? 4,914.00",Tuesday
212,C093,7,2,28-02-2023,07:14:40,05-03-2023,20:01:45,Ozhukarai,Holi,February,7,5,20,? 409.00,? 818.00,Tuesday
213,C022,42,5,14-02-2023,08:26:18,24-02-2023,08:58:11,Dehradun,All Occasions,February,8,10,8,"? 1,744.00","? 8,720.00",Tuesday
222,C099,6,5,26-02-2023,05:57:25,07-03-2023,18:20:50,Guntur,Holi,February,5,9,18,"? 1,112.00","? 5,560.00",Sunday
235,C071,56,2,26-02-2023,14:26:46,03-03-2023,23:26:23,Bhilai,Anniversary,February,14,5,23,"? 1,272.00","? 2,544.00",Sunday
246,C017,69,5,28-02-2023,23:24:33,08-03-2023,00:38:49,Agra,Holi,February,23,8,0,? 998.00,"? 4,990.00",Tuesday
251,C051,7,4,28-02-2023,00:31:48,02-03-2023,00:19:44,Khora,Holi,February,0,2,0,? 409.00,"? 1,636.00",Tuesday
252,C040,69,2,26-02-2023,05:41:28,28-02-2023,08:11:16,Nandyal,Holi,February,5,2,8,? 998.00,"? 1,996.00",Sunday
285,C082,7,5,26-02-2023,17:26:44,01-03-2023,12:52:20,Tirunelveli,Holi,February,17,3,12,? 409.00,"? 2,045.00",Sunday
297,C047,13,3,28-02-2023,20:15:29,05-03-2023,20:52:27,Phagwara,Holi,February,20,5,20,"? 1,141.00","? 3,423.00",Tuesday
301,C070,6,3,27-02-2023,06:24:22,04-03-2023,16:52:16,Kota,Holi,February,6,5,16,"? 1,112.00","? 3,336.00",Monday
323,C013,23,2,09-02-2023,18:13:04,10-02-2023,10:22:35,Khora,Anniversary,February,18,1,10,"? 1,098.00","? 2,196.00",Thursday
324,C073,14,2,02-02-2023,18:47:28,11-02-2023,15:34:54,North Dumdum,Birthday,February,18,9,15,"? 1,915.00","? 3,830.00",Thursday
333,C100,22,5,09-02-2023,06:19:15,10-02-2023,03:46:29,South Dumdum,All Occasions,February,6,1,3,"? 1,639.00","? 8,195.00",Thursday
354,C087,13,5,26-02-2023,17:25:28,06-03-2023,09:43:32,Narasaraopet,Holi,February,17,8,9,"? 1,141.00","? 5,705.00",Sunday
359,C052,47,2,28-02-2023,12:13:36,05-03-2023,20:31:30,Nagpur,Holi,February,12,5,20,"? 1,638.00","? 3,276.00",Tuesday
375,C091,46,1,11-02-2023,04:16:25,20-02-2023,19:37:38,Mysore,Anniversary,February,4,9,19,? 758.00,? 758.00,Saturday
407,C074,69,3,26-02-2023,08:52:11,28-02-2023,04:09:44,Jamalpur,Holi,February,8,2,4,? 998.00,"? 2,994.00",Sunday
409,C049,50,4,26-02-2023,17:43:59,28-02-2023,19:44:57,Khammam,Holi,February,17,2,19,? 422.00,"? 1,688.00",Sunday
414,C034,7,4,28-02-2023,21:18:11,07-03-2023,01:07:31,Raurkela Industrial Township,Holi,February,21,7,1,? 409.00,"? 1,636.00",Tuesday
420,C039,6,3,27-02-2023,08:36:20,28-02-2023,00:07:29,Kota,Holi,February,8,1,0,"? 1,112.00","? 3,336.00",Monday
433,C068,7,5,26-02-2023,23:33:51,02-03-2023,04:19:56,Amravati,Holi,February,23,4,4,? 409.00,"? 2,045.00",Sunday
441,C052,26,2,26-02-2023,11:23:56,06-03-2023,16:38:50,Kurnool,Holi,February,11,8,16,? 289.00,? 578.00,Sunday
447,C032,47,4,27-02-2023,02:45:34,04-03-2023,15:04:56,Bhilwara,Holi,February,2,5,15,"? 1,638.00","? 6,552.00",Monday
470,C031,47,5,28-02-2023,17:34:04,06-03-2023,15:29:29,Bhavnagar,Holi,February,17,6,15,"? 1,638.00","? 8,190.00",Tuesday
474,C051,1,4,07-02-2023,06:31:59,14-02-2023,02:00:07,Dibrugarh,All Occasions,February,6,7,2,"? 1,935.00","? 7,740.00",Tuesday
494,C082,7,4,28-02-2023,03:11:22,08-03-2023,19:06:48,Rewa,Holi,February,3,8,19,? 409.00,"? 1,636.00",Tuesday
508,C035,69,1,26-02-2023,17:29:28,04-03-2023,07:11:06,Varanasi,Holi,February,17,6,7,? 998.00,? 998.00,Sunday
511,C055,47,2,27-02-2023,12:58:05,04-03-2023,00:46:11,Dibrugarh,Holi,February,12,5,0,"? 1,638.00","? 3,276.00",Monday
522,C011,50,3,27-02-2023,21:04:28,08-03-2023,01:34:50,Avadi,Holi,February,21,9,1,? 422.00,"? 1,266.00",Monday
543,C023,51,4,12-02-2023,21:51:10,17-02-2023,11:53:09,Saharanpur,All Occasions,February,21,5,11,"? 1,084.00","? 4,336.00",Sunday
546,C064,25,3,02-02-2023,22:04:53,11-02-2023,10:00:07,Motihari,Anniversary,February,22,9,10,"? 1,202.00","? 3,606.00",Thursday
548,C012,25,2,21-02-2023,12:32:50,22-02-2023,19:47:44,Gorakhpur,Anniversary,February,12,1,19,"? 1,202.00","? 2,404.00",Tuesday
550,C023,29,5,27-02-2023,19:28:12,05-03-2023,17:03:39,Bettiah,Holi,February,19,6,17,"? 1,252.00","? 6,260.00",Monday
554,C045,29,4,28-02-2023,20:25:07,03-03-2023,16:49:01,Sangli-Miraj & Kupwad,Holi,February,20,3,16,"? 1,252.00","? 5,008.00",Tuesday
570,C056,69,3,28-02-2023,11:25:04,09-03-2023,00:53:55,Satna,Holi,February,11,9,0,? 998.00,"? 2,994.00",Tuesday
571,C046,6,1,28-02-2023,09:38:25,09-03-2023,04:26:01,Bhatpara,Holi,February,9,9,4,"? 1,112.00","? 1,112.00",Tuesday
617,C083,22,1,19-02-2023,02:53:42,28-02-2023,17:01:34,Uluberia,All Occasions,February,2,9,17,"? 1,639.00","? 1,639.00",Sunday
625,C089,63,5,23-02-2023,21:15:42,04-03-2023,02:46:06,Belgaum,All Occasions,February,21,9,2,"? 1,348.00","? 6,740.00",Thursday
627,C024,51,4,05-02-2023,04:30:25,08-02-2023,23:38:12,Sirsa,All Occasions,February,4,3,23,"? 1,084.00","? 4,336.00",Sunday
